Source,Target,Type,Kind,Id,Label,Interval,Weight
1474025293430104076,1473934055557189634,Directed,,1,,,1.0
1474024862498840583,1474018619235442688,Directed,,2,,,1.0
1474020110264377350,1474018619235442688,Directed,,3,,,1.0
1474017278056288262,1472956905664520192,Directed,,4,,,1.0
1474016319813165061,1472956905664520192,Directed,,5,,,1.0
1474014690988732422,1473386206914359299,Directed,,6,,,1.0
1474013702823284738,1472956905664520192,Directed,,7,,,1.0
1474012695674322946,1472956905664520192,Directed,,8,,,1.0
1474012081276039172,1473020208314994688,Directed,,9,,,1.0
1474011840392970241,1472956905664520192,Directed,,10,,,1.0
1474011485991055369,1472956905664520192,Directed,,11,,,1.0
1474011370735779844,1472956905664520192,Directed,,12,,,1.0
1474011298824400896,1474010780265820164,Directed,,13,,,1.0
1474010645850988552,1472956905664520192,Directed,,14,,,1.0
1474010615551336455,1472956905664520192,Directed,,15,,,1.0
1474010581942390784,1472956905664520192,Directed,,16,,,1.0
1474010112155074562,1472956905664520192,Directed,,17,,,1.0
1474009520527523843,1472956905664520192,Directed,,18,,,1.0
1474009471655591941,1473979648497303555,Directed,,19,,,1.0
1474009411601510400,1472956905664520192,Directed,,20,,,1.0
1474009159255437317,1472956905664520192,Directed,,21,,,1.0
1474009084076642308,1472956905664520192,Directed,,22,,,1.0
1474009030670659587,1472956905664520192,Directed,,23,,,1.0
1474008991483187203,1472956905664520192,Directed,,24,,,1.0
1474008947304640514,1472956905664520192,Directed,,25,,,1.0
1474008833941028870,1472956905664520192,Directed,,26,,,1.0
1474008629716082688,1473934055557189634,Directed,,27,,,1.0
1474007626358865926,1473934055557189634,Directed,,28,,,1.0
1474007467126308875,1472956905664520192,Directed,,29,,,1.0
1474005486487887872,1472984866362990597,Directed,,30,,,1.0
1474003352023351298,1474002470850412548,Directed,,31,,,1.0
1474002977602084874,1473813531833290753,Directed,,32,,,1.0
1474002969838370824,1473813531833290753,Directed,,33,,,1.0
1474002341535928324,1473813531833290753,Directed,,34,,,1.0
1474001901054218246,1473978949332054019,Directed,,35,,,1.0
1474001394298462220,1474000554305142791,Directed,,36,,,1.0
1473997161931198468,1473978949332054019,Directed,,37,,,1.0
1473992282055532555,1473780811350560770,Directed,,38,,,1.0
1473992080963821570,1473386206914359299,Directed,,39,,,1.0
1473991715367309315,1473979648497303555,Directed,,40,,,1.0
1473990554383962114,1473780811350560770,Directed,,41,,,1.0
1473989888605396998,1473780811350560770,Directed,,42,,,1.0
1473988808471465989,1473978949332054019,Directed,,43,,,1.0
1473987824462581767,1473978949332054019,Directed,,44,,,1.0
1473987593700319246,1473934055557189634,Directed,,45,,,1.0
1473986497439318018,1471444540053721090,Directed,,46,,,1.0
1473986380116205571,1461718360786448385,Directed,,47,,,1.0
1473986337191702531,1473978949332054019,Directed,,48,,,1.0
1473986186477776905,1473979648497303555,Directed,,49,,,1.0
1473984833357496327,1472339940327444482,Directed,,50,,,1.0
1473984241717424141,1473979648497303555,Directed,,51,,,1.0
1473983615348482048,1473979648497303555,Directed,,52,,,1.0
1473983195087523842,1473780811350560770,Directed,,53,,,1.0
1473980965248802822,1473934055557189634,Directed,,54,,,1.0
1473978872462864384,1471444540053721090,Directed,,55,,,1.0
1473973854708322310,1473386206914359299,Directed,,56,,,1.0
1473968489429966852,1472981109327683589,Directed,,57,,,1.0
1473968297968377861,1473386206914359299,Directed,,58,,,1.0
1473967429101539329,1472956905664520192,Directed,,59,,,1.0
1473967067141480452,1473386206914359299,Directed,,60,,,1.0
1473966917308366848,1473386206914359299,Directed,,61,,,1.0
1473965359984263172,1473020208314994688,Directed,,62,,,1.0
1473965136985661454,1473934055557189634,Directed,,63,,,1.0
1473965076742819844,1473020208314994688,Directed,,64,,,1.0
1473962090952110082,1473386206914359299,Directed,,65,,,1.0
1473959364276989952,1472133731448197120,Directed,,66,,,1.0
1473957682512023556,1473386206914359299,Directed,,67,,,1.0
1473950533069250560,1473946793784324109,Directed,,68,,,1.0
1473949616680878082,1473900192462262275,Directed,,69,,,1.0
1473946471879921667,1472339940327444482,Directed,,70,,,1.0
1473944787321593858,1472339940327444482,Directed,,71,,,1.0
1473944414510891010,1472231158310227971,Directed,,72,,,1.0
1473944385830244354,1473934055557189634,Directed,,73,,,1.0
1473943541130960905,1473934055557189634,Directed,,74,,,1.0
1473940813029773315,1473020208314994688,Directed,,75,,,1.0
1473940070986141704,1473911646884089858,Directed,,76,,,1.0
1473939623814565890,1473651297161297920,Directed,,77,,,1.0
1473939337801007115,1473819511145082882,Directed,,78,,,1.0
1473936976168554496,1473020208314994688,Directed,,79,,,1.0
1473933365120282625,1473020208314994688,Directed,,80,,,1.0
1473931773549727748,1472956905664520192,Directed,,81,,,1.0
1473931617135738882,1472301392467476489,Directed,,82,,,1.0
1473930494098161664,1473804608279662599,Directed,,83,,,1.0
1473929064251539456,1473911646884089858,Directed,,84,,,1.0
1473927666839523328,1473780811350560770,Directed,,85,,,1.0
1473927121298931713,1472956905664520192,Directed,,86,,,1.0
1473922581585711105,1473747199330824195,Directed,,87,,,1.0
1473920543275556864,1472956905664520192,Directed,,88,,,1.0
1473917976306987021,1472956905664520192,Directed,,89,,,1.0
1473917611909992454,1473747199330824195,Directed,,90,,,1.0
1473915411485888517,1472956905664520192,Directed,,91,,,1.0
1473914747720454145,1471774500039577604,Directed,,92,,,1.0
1473913923623690241,1473600289492115460,Directed,,93,,,1.0
1473913320876949507,1473911646884089858,Directed,,94,,,1.0
1473913247787106309,1472527787886055430,Directed,,95,,,1.0
1473912916562923525,1473900192462262275,Directed,,96,,,1.0
1473912373106851845,1472301392467476489,Directed,,97,,,1.0
1473910945814654977,1473900192462262275,Directed,,98,,,1.0
1473909696172019721,1472956905664520192,Directed,,99,,,1.0
1473908211153575937,1472956905664520192,Directed,,100,,,1.0
1473907671355076610,1472527787886055430,Directed,,101,,,1.0
1473906894502862848,1473605221741912064,Directed,,102,,,1.0
1473905820870057987,1473780811350560770,Directed,,103,,,1.0
