Source,Target,Type,Kind,Id,Label,Interval,Weight
1468933392326610954,763485613,Directed,,1,,,1.0
420614018,1417045292667576323,Directed,,2,,,1.0
420614018,221493059,Directed,,3,,,1.0
2970245374,330349571,Directed,,4,,,1.0
1347852142070145024,138736601,Directed,,5,,,1.0
126727689,1200818228777357312,Directed,,6,,,1.0
57927028,1112474438065377280,Directed,,7,,,1.0
2954454747,734134273,Directed,,8,,,1.0
3194573930,425039950,Directed,,9,,,1.0
1245225642003660800,1200818228777357312,Directed,,10,,,1.0
476038082,330349571,Directed,,11,,,1.0
922731060,330349571,Directed,,12,,,1.0
1442844191013412870,425039950,Directed,,13,,,1.0
439855752,1112474438065377280,Directed,,14,,,1.0
1208291366918328320,1207268171675324416,Directed,,15,,,1.0
1365350315122446338,1200818228777357312,Directed,,16,,,1.0
564497761,330349571,Directed,,17,,,1.0
3252394091,1207268171675324416,Directed,,18,,,1.0
1455843673795698689,722641382,Directed,,19,,,1.0
2845206706,945762882817613824,Directed,,20,,,1.0
1442950706915315712,2222183850,Directed,,21,,,1.0
50267238,1296134026282115077,Directed,,22,,,1.0
2637882316,425039950,Directed,,23,,,1.0
273651218,1094718444837265408,Directed,,24,,,1.0
1087476792007495680,1200818228777357312,Directed,,25,,,1.0
1006493750,1439982902884945920,Directed,,26,,,1.0
363701163,1094718444837265408,Directed,,27,,,1.0
363701163,2155461192,Directed,,28,,,1.0
927122457894453248,722641382,Directed,,29,,,1.0
973247240822280192,722641382,Directed,,30,,,1.0
949280015652413445,800072149373358081,Directed,,31,,,1.0
2415662937,857865903295344640,Directed,,32,,,1.0
273651218,945762882817613824,Directed,,33,,,1.0
85820954,1112474438065377280,Directed,,34,,,1.0
2415662937,1296134026282115077,Directed,,35,,,1.0
2175541491,945762882817613824,Directed,,36,,,1.0
413114256,734134273,Directed,,37,,,1.0
3001005159,330349571,Directed,,38,,,1.0
273651218,763485613,Directed,,39,,,1.0
343973477,1454127021836091397,Directed,,40,,,1.0
950098070771036160,945762882817613824,Directed,,41,,,1.0
1468933392326610954,1094718444837265408,Directed,,42,,,1.0
1468933392326610954,2155461192,Directed,,43,,,1.0
1468933392326610954,549225146,Directed,,44,,,1.0
1243232462970421259,436956088,Directed,,45,,,1.0
1243232462970421259,252646626,Directed,,46,,,1.0
494284449,2222183850,Directed,,47,,,1.0
1465434514570854409,431502985,Directed,,48,,,1.0
2973581133,734134273,Directed,,49,,,1.0
842824496725790720,425039950,Directed,,50,,,1.0
1172256394499768321,945762882817613824,Directed,,51,,,1.0
156768713,330349571,Directed,,52,,,1.0
99258785,1417045292667576323,Directed,,53,,,1.0
1405888434917593098,722641382,Directed,,54,,,1.0
3397089436,945762882817613824,Directed,,55,,,1.0
1244080086,1254021896116539392,Directed,,56,,,1.0
898139472,436956088,Directed,,57,,,1.0
1389621811277713418,722641382,Directed,,58,,,1.0
79198695,1196394905196777472,Directed,,59,,,1.0
333498140,857865903295344640,Directed,,60,,,1.0
1311796571563077634,138736601,Directed,,61,,,1.0
876376471224410112,722641382,Directed,,62,,,1.0
2277678464,1112474438065377280,Directed,,63,,,1.0
3307930251,1399499338452242433,Directed,,64,,,1.0
2637882316,330349571,Directed,,65,,,1.0
1359233406098374660,1399499338452242433,Directed,,66,,,1.0
1446857524045561864,734134273,Directed,,67,,,1.0
2166592992,945762882817613824,Directed,,68,,,1.0
1355024335,1912357064,Directed,,69,,,1.0
1287422621404073984,330349571,Directed,,70,,,1.0
1270565977,763485613,Directed,,71,,,1.0
1025143716,1419672928472477697,Directed,,72,,,1.0
1183449929907343360,1112474438065377280,Directed,,73,,,1.0
