,Id,Label,Interval,Giant_Component,cluster_eigen,cluster_kmeans,cluster_GN,hashtags,gruppo
0,1086702385,paolaokaasan,,1,1,1,1,@matteosalvinimi,1
1,1427012746273492992,Ben_di_,,1,1,1,1,@matteosalvinimi,1
2,894286780945641472,Mereditella,,1,1,1,1,@matteosalvinimi,1
3,1337144779772194819,manuel_y_jesus_,,1,2,1,1,@matteosalvinimi,1
4,1188727145247498240,EsseSandra2,,1,1,1,1,@matteosalvinimi,1
5,1296006171862667264,AcciaioMario,,1,2,1,1,@matteosalvinimi,1
6,1464204725759483910,Iriska30345379,,1,1,1,1,@matteosalvinimi,1
7,1431990401259421704,princess211110,,1,2,1,1,@matteosalvinimi,1
8,4548980176,ledrumars,,1,1,1,1,@matteosalvinimi,1
9,2959021829,alessiopadella,,1,1,1,1,@matteosalvinimi,1
10,1261985035269308416,Roberta44762324,,1,1,1,1,@matteosalvinimi,1
11,2360365059,v3rd3acqua,,1,2,1,1,@matteosalvinimi,1
12,294848675,Bninformatica,,1,2,2,1,@matteosalvinimi,1
13,1097559227302903815,MuggelStein,,1,1,1,1,@matteosalvinimi,1
14,1360309905912193026,lucas041060011,,1,1,1,1,@matteosalvinimi,1
15,1420643710723837953,Ele156053280,,1,1,1,1,@matteosalvinimi,1
16,3631495096,MonicaMofanta,,1,1,1,1,@matteosalvinimi,1
17,546654601,mariolinocalcin,,1,1,1,1,@matteosalvinimi,1
18,1470413462929031168,MirellaMalvici5,,1,1,1,1,@matteosalvinimi,1
19,262504476,cceettina,,1,1,1,1,@matteosalvinimi,1
20,1326644138004115456,Luigi03215458,,1,1,1,1,@matteosalvinimi,1
21,4853695089,PFiamingo,,1,1,1,1,@matteosalvinimi,1
22,1354014924301852673,Erosenn67299186,,1,1,1,1,@matteosalvinimi,1
23,540845601,simospank,,1,2,2,1,@matteosalvinimi,1
24,1062862212,toni08061963,,1,2,1,1,@matteosalvinimi,1
25,986292469682855938,pietro30199674,,1,1,1,1,@matteosalvinimi,1
26,1094396285069807616,zannazyu,,1,1,1,1,@matteosalvinimi,1
27,3039450687,MaxZo_,,1,2,1,1,@matteosalvinimi,1
28,1227144498,Alexct9,,1,1,1,1,@matteosalvinimi,1
29,969926737361604608,SamaRosa70,,1,2,1,1,@matteosalvinimi,1
30,1411264482,MDS_TW,,1,1,1,1,@matteosalvinimi,1
31,1044144480964800512,Leonard33968045,,1,1,1,1,@matteosalvinimi,1
32,529718462,Pecjosef,,1,2,1,1,@matteosalvinimi,1
33,1103360481341902854,Profilo3Marco,,1,1,1,2,@matteosalvinimi,1
34,1050393979777441792,Beatric72980398,,1,2,2,1,@matteosalvinimi,1
35,1131148316,mlpedo,,1,1,1,2,@matteosalvinimi,1
