,Unnamed: 0,Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans
0,0,321228288,marsion65,,2,1,1,1
1,1,1426639026824564737,MaurizioCimino2,,2,1,2,2
2,2,272945830,AleC226,,2,1,2,2
3,3,745351426117869568,Massimi8900,,2,1,2,2
4,4,798461063494828032,IvanoPioli,,2,1,1,1
5,5,1053632622465818624,Efisio31251859,,2,1,2,1
6,6,1429231388394467332,Ilaria89965081,,2,1,2,2
7,7,1000480351905632258,MarceVann,,2,1,2,1
8,8,2187420112,brughen,,2,1,2,2
9,9,2175541491,47187297Bruna,,2,1,2,2
10,10,1197158807140483072,Marc852835993,,2,1,2,2
11,11,1320296479437836288,Mariang47614228,,2,1,2,1
12,12,1901258058,75Ginny,,2,1,2,2
13,13,363701163,iodalmare70,,2,1,1,1
14,14,2197175103,grecale66,,2,1,1,1
15,15,1444189918276767750,Andrew_bahbah,,2,1,2,2
16,16,2370797451,angelo_fornaro,,2,1,1,1
17,17,1423614587153305600,NadiaPazienza,,2,1,1,1
18,18,721992165505835009,pierluca_mussi,,2,1,2,2
19,19,1321232532495544326,RossiniTazio,,2,1,1,1
20,20,1430162268,sferriam,,2,1,2,2
21,21,1087476792007495680,NazzarenoMi,,2,1,2,1
22,22,1160826529624023041,2_crim,,2,1,2,2
23,23,1468933392326610954,Laura45770337,,2,1,2,1
24,24,1377439021,GPTurchi,,2,1,2,1
25,25,875178422,actarus1070,,2,1,1,1
26,26,2498916540,RedRoyJohn,,2,1,1,1
27,27,1449468040245035011,Claudia_2774,,2,1,2,2
28,28,416583838,melinacugliari,,2,1,2,1
29,29,1230454012199264257,francepolen,,2,1,2,2
30,30,909239401,DavideGiordy99,,2,1,1,1
31,31,2363670784,ernluccar,,0,1,1,1
32,32,1386786871439659011,AnimaTantra,,2,1,1,1
33,33,1443847898735783967,DesireemailCom1,,2,1,1,1
34,34,928345597182177286,Gianluc68325330,,2,1,2,2
35,35,1449323956415209477,odylori,,0,1,1,1
36,36,1231573077722632192,Roxy19794,,0,1,1,1
37,37,1249848746,73Orlando73,,2,1,2,1
38,38,20552360,ltonino64,,2,1,2,2
